d,two_theta,intensity,h,k,l,mult,phase,id
1.0823,90.7492,0,2,7,1,8,Cerussite,96-901-3804
1.0784,91.1671,0,3,6,1,8,Cerussite,96-901-3804
1.0747,91.573,22.21,2,2,5,8,Cerussite,96-901-3804
1.0642,92.7417,27.26,3,3,4,8,Cerussite,96-901-3804
1.0642,92.7457,11.29,0,4,5,4,Cerussite,96-901-3804
1.0627,92.9075,0,2,6,3,8,Cerussite,96-901-3804
1.0624,92.9469,2.24,0,8,0,2,Cerussite,96-901-3804
1.0606,93.1575,19.21,4,2,3,8,Cerussite,96-901-3804
1.0469,94.7503,10.1,0,8,1,4,Cerussite,96-901-3804
1.0446,95.0258,0.04,0,7,3,4,Cerussite,96-901-3804
1.0435,95.1537,0.45,2,5,4,8,Cerussite,96-901-3804
1.043,95.2138,17.81,3,5,3,8,Cerussite,96-901-3804
1.0424,95.283,0.08,1,4,5,8,Cerussite,96-901-3804
1.0416,95.3852,12.2,0,6,4,4,Cerussite,96-901-3804
1.0409,95.4635,5.7,4,4,2,8,Cerussite,96-901-3804
1.0352,96.1587,0.34,2,7,2,8,Cerussite,96-901-3804
1.0342,96.2918,0.17,2,3,5,8,Cerussite,96-901-3804
1.0319,96.579,0.65,3,6,2,8,Cerussite,96-901-3804
1.029,96.934,1.51,5,1,0,4,Cerussite,96-901-3804
1.0262,97.2954,0.14,1,8,1,8,Cerussite,96-901-3804
1.0246,97.4969,8.07,0,0,6,2,Cerussite,96-901-3804
1.024,97.5723,19.63,1,7,3,8,Cerussite,96-901-3804
1.0215,97.887200000000007,0,4,3,3,8,Cerussite,96-901-3804
1.0212,97.9334,0.05,1,6,4,8,Cerussite,96-901-3804
1.0172,98.4473,0.06,0,1,6,4,Cerussite,96-901-3804
1.0163,98.5609,0.07,4,5,1,8,Cerussite,96-901-3804
1.0149,98.7502,17.32,5,1,1,8,Cerussite,96-901-3804
1.0102,99.3713,0.09,3,4,4,8,Cerussite,96-901-3804
7.9007,11.1902,25.97,0,0,3,2,Hydrocerussite,96-201-2741
4.4624,19.8806,273.67,1,0,1,6,Hydrocerussite,96-201-2741
4.2425,20.9222,270.69,1,0,2,6,Hydrocerussite,96-201-2741
3.9503,22.489,0.36,0,0,6,2,Hydrocerussite,96-201-2741
3.6056,24.6713,748.59,1,0,4,6,Hydrocerussite,96-201-2741
3.2802,27.1637,1000,1,0,5,6,Hydrocerussite,96-201-2741
2.715,32.9645,87.32,1,0,7,6,Hydrocerussite,96-201-2741
