# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = model_e2be5eb6573ecac874026412491317bd_model
# start_datetime = 2024-09-05 18:28:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpBx2V2U/standata-177628368cc7.json
# init = 2 (Default)
# random
#   seed = 1245
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpBx2V2U/model_e2be5eb6573ecac874026412491317bd-202409051528-1-470c15.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpBx2V2U/model_e2be5eb6573ecac874026412491317bd-profile-202409051528-1-45bfdf.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --name=model_e2be5eb6573ecac874026412491317bd_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,Intercept,ar.1,sigma,nu,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.399116
# Diagonal elements of inverse mass matrix:
# 0.000444258, 0.849562, 0.834675, 0.026671, 0.787792
-64.3913,0.942803,0.399116,3,7,0,66.0263,0.0783323,9.30895,0.919009,0.612239,11.5625,-8.39174,5.47066
-64.9303,0.940495,0.399116,3,7,0,66.3235,0.0985609,10.2468,0.945741,0.65997,40.5228,-10.0977,5.41736
-65.5602,0.962782,0.399116,3,7,0,66.4401,0.0967982,9.6531,0.830558,0.714202,6.11191,-8.49592,4.90999
-66.7302,0.564753,0.399116,2,3,0,69.9596,0.087289,9.38342,0.885117,0.807584,5.86882,-8.51075,5.10625
-66.4246,0.93371,0.399116,3,7,0,68.7946,0.107091,11.0943,0.978432,0.800322,15.0481,-8.65958,5.84678
-64.6025,0.982634,0.399116,3,7,0,68.0589,0.107464,10.5795,0.925891,0.667919,24.4448,-9.03035,5.31378
-65.5705,0.956735,0.399116,3,7,0,66.6127,0.0975079,9.07824,0.885169,0.790622,39.5031,-9.96176,4.30036
-65.9592,0.998114,0.399116,3,7,0,67.0852,0.104632,9.87705,0.795443,0.819353,29.8039,-9.29851,4.75006
-67.7599,0.92806,0.399116,2,3,0,69.1934,0.101844,9.78218,0.790633,0.852001,60.8224,-11.6824,4.79183
-63.9635,1,0.399116,2,3,0,68.0091,0.0997817,9.61624,0.899279,0.761894,34.1866,-9.58927,4.72694
-64.9225,0.821385,0.399116,3,11,0,67.3139,0.104101,9.62095,0.937412,0.606539,4.40814,-8.65612,4.52002
-64.0043,0.997346,0.399116,4,15,0,64.9866,0.0882048,9.99995,0.92543,0.58952,9.07272,-8.42117,5.67792
-65.428,0.811434,0.399116,2,7,0,67.9939,0.0860585,9.03115,0.916742,0.535745,9.34964,-8.37608,4.81428
-65.7784,0.751964,0.399116,3,7,0,69.6093,0.0923349,10.4898,0.978008,0.727781,9.44046,-8.47855,5.96538
-66.0965,0.965021,0.399116,2,7,0,67.6807,0.0895193,10.6747,0.951938,0.800991,13.3736,-8.54679,6.28825
-65.6353,0.97861,0.399116,3,7,0,67.0568,0.0918378,10.2582,0.905581,0.664256,5.06016,-8.62828,5.75811
-67.8422,0.202788,0.399116,3,15,0,70.1003,0.0979748,8.92194,0.987761,0.593065,5.03858,-8.57506,4.12117
-67.1039,0.972524,0.399116,2,3,0,69.0392,0.0909673,9.07549,0.987926,0.557313,8.95774,-8.38931,4.61809
-66.6102,0.998385,0.399116,3,11,0,68.7606,0.0905452,9.15458,0.99112,0.627319,7.7694,-8.41714,4.71786
-65.6016,0.900756,0.399116,3,15,0,69.7681,0.0968691,10.6099,0.960619,0.729403,41.4153,-10.21,5.86328
-65.9601,0.928731,0.399116,3,7,0,67.3857,0.0857515,9.50234,0.871753,0.671903,4.07568,-8.69094,5.30051
-66.7942,0.64859,0.399116,3,15,0,69.7533,0.0855183,9.35117,0.99416,0.651627,18.0719,-8.60831,5.16077
-66.8085,0.904311,0.399116,3,7,0,68.4982,0.0871923,9.89343,0.99049,0.784609,23.9974,-8.95099,5.621
-65.668,0.770799,0.399116,3,7,0,72.5335,0.114795,10.3378,0.94498,0.53766,4.95351,-8.64742,4.71282
-66.6701,0.929766,0.399116,2,3,0,67.0331,0.120495,10.0439,0.937375,0.528704,5.23307,-8.59294,4.1396
-64.4126,0.996893,0.399116,3,7,0,67.2018,0.0840856,9.62836,0.961269,0.578273,4.78501,-8.61161,5.50817
-64.5127,0.987462,0.399116,3,7,0,66.3593,0.0961494,9.79573,0.896202,0.776628,42.747,-10.232,5.08441
-64.5047,0.66155,0.399116,2,3,0,70.0309,0.092998,9.92444,0.951355,0.65189,32.2104,-9.46858,5.36754
-66.2772,0.882458,0.399116,2,7,0,69.0588,0.107353,9.60874,0.749902,0.794498,22.4374,-8.82575,4.34846
-65.4065,0.976706,0.399116,3,7,0,68.5256,0.0910346,10.0485,0.981864,0.600587,13.1483,-8.46874,5.5878
-66.2254,0.971097,0.399116,3,7,0,67.4675,0.113646,10.6089,0.987659,0.641425,6.53116,-8.56873,5.04021
-64.755,0.879677,0.399116,3,15,0,67.7351,0.0979077,9.7466,0.972992,0.612631,7.00458,-8.46312,4.94912
-63.7878,0.99159,0.399116,3,7,0,65.4673,0.102451,9.5828,0.929093,0.602293,9.4944,-8.39441,4.56272
-63.9724,0.98175,0.399116,2,7,0,66.4702,0.108227,9.45857,0.914557,0.670072,14.2704,-8.46189,4.15545
