# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1257
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=model-censored-x_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept_y,bsp_y.1,sigma_y,Ymi_xstar.1,Intercept_xstar,sigma_xstar,Ycens_xstar.1,Ycens_xstar.2,Ycens_xstar.3,Ycens_xstar.4,Ycens_xstar.5,Ycens_xstar.6,Ycens_xstar.7,lprior,b_y_Intercept,b_xstar_Intercept
-92.5414,0.452388,0.151332,4,15,0,99.6588,0.213655,2.14374,0.967588,1.73142,-0.326484,1.71625,-1.20957,-3.05549,-1.27343,-1.64224,-1.25849,-1.23737,-2.97353,-7.81245,0.213655,-0.326484
-94.3718,0.951651,0.0718926,6,63,0,99.5946,0.196911,2.1634,0.962717,2.02471,0.528081,2.20785,-1.13514,-2.60719,-1.75389,-1.37381,-1.95014,-1.49562,-2.76936,-7.96494,0.196911,0.528081
-92.7597,0.9392,0.103332,5,31,0,99.6778,-0.240406,2.3087,0.860896,1.52351,0.427515,1.87751,-1.19924,-2.46728,-1.25035,-1.68316,-1.14912,-1.49176,-2.88818,-7.85028,-0.240406,0.427515
-94.5399,0.281875,0.143898,4,31,0,98.3549,-0.278123,2.13891,0.938718,1.24522,0.387552,1.37312,-1.25246,-2.53669,-1.31486,-1.61252,-1.15191,-1.66812,-3.56249,-7.70202,-0.278123,0.387552
-94.7895,0.995893,0.0477937,5,63,0,103.028,0.45012,1.59613,1.01654,2.27223,-0.396633,2.63596,-2.19681,-4.63946,-2.80662,-1.9334,-1.89364,-2.16555,-6.09424,-8.15989,0.45012,-0.396633
-98.4801,0.905747,0.0752627,5,31,0,110.437,0.139413,1.89657,1.09816,2.00791,-0.621372,2.31956,-1.87722,-3.21229,-1.10422,-2.18569,-1.39769,-1.63273,-2.4005,-8.07684,0.139413,-0.621372
-95.7087,0.977757,0.0971235,4,15,0,104.931,-0.0368215,2.2331,0.940548,2.14922,0.304169,1.37178,-2.00386,-3.52158,-1.09642,-1.64262,-1.81488,-1.79171,-2.84785,-7.68881,-0.0368215,0.304169
-95.3581,0.724883,0.145757,3,11,0,100.808,-0.0757125,1.94618,1.00613,2.38537,0.293194,1.92186,-1.65117,-2.45282,-1.09382,-2.03559,-1.78664,-1.88553,-2.70369,-7.86248,-0.0757125,0.293194
-97.4644,0.755679,0.127187,5,31,0,103.76,0.177128,2.13754,1.01297,1.59799,0.575509,1.40778,-1.31055,-3.07614,-1.47197,-1.45429,-1.35168,-1.69887,-1.77866,-7.71086,0.177128,0.575509
-94.5266,0.863821,0.118613,3,15,0,103.589,-0.086738,2.23746,1.08782,1.58588,0.349395,1.94542,-1.25528,-3.49212,-1.73964,-1.67716,-1.19694,-1.41577,-2.1344,-7.87798,-0.086738,0.349395
-91.3361,0.325813,0.138953,4,31,0,98.0629,-0.0718536,1.99666,0.739427,2.31609,-0.379299,1.5269,-1.51478,-3.10139,-1.2493,-1.35914,-1.50881,-1.87873,-3.64651,-7.75653,-0.0718536,-0.379299
-90.8739,0.992759,0.0527341,5,31,0,95.7024,0.316882,2.05447,1.0623,1.51139,-0.0748226,1.88457,-1.23803,-3.54671,-2.15819,-1.90978,-1.41161,-1.47167,-3.1993,-7.85088,0.316882,-0.0748226
-90.434,0.967913,0.0809787,4,15,0,95.3277,0.14308,2.01621,0.875384,1.91549,-0.229972,1.60315,-1.14664,-3.85322,-1.87825,-2.08933,-1.26053,-1.64788,-3.47932,-7.76379,0.14308,-0.229972
-89.7712,0.86254,0.117571,5,31,0,93.4724,0.0326959,2.07167,0.831004,1.90023,0.0954459,1.44794,-1.61566,-3.11129,-1.29841,-1.19647,-1.51401,-1.79062,-3.17648,-7.70093,0.0326959,0.0954459
-89.838,0.871022,0.136859,4,15,0,94.4751,0.232841,1.98922,0.847841,2.04977,0.358209,1.80994,-1.33338,-3.99437,-2.2946,-1.72308,-1.54431,-1.3549,-3.52719,-7.80859,0.232841,0.358209
