# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=1256
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=carmodel_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,ar.1,sigma,lprior,b_Intercept
-196.463,0.23017,1.60205,1,3,0,197.157,-0.227673,0.856695,1.16633,-3.79311,-0.227673
-193.788,1,0.365169,3,7,0,196.893,-0.46216,0.777289,1.2157,-3.39429,-0.46216
-195.537,0.929052,0.634687,2,7,0,196.532,-0.541495,0.828908,1.18416,-3.63716,-0.541495
-194.371,0.974255,0.91011,2,3,0,196.666,-0.156698,0.809925,1.22629,-3.56255,-0.156698
-194.371,0.345534,1.45748,1,3,0,197.795,-0.156698,0.809925,1.22629,-3.56255,-0.156698
-192.371,0.99421,0.466625,2,7,0,195.19,-0.0697723,0.721977,1.16784,-3.18156,-0.0697723
-192.182,0.988351,0.784198,2,3,0,192.516,-0.191534,0.697425,1.16611,-3.08925,-0.191534
-192.73,0.726879,1.28853,2,3,0,193.446,-0.25933,0.675306,1.23617,-3.03601,-0.25933
-192.517,0.963953,1.09523,2,3,0,193.167,-0.0759219,0.737026,1.18461,-3.24018,-0.0759219
-192.517,0.562085,1.67755,1,3,0,193.253,-0.0759219,0.737026,1.18461,-3.24018,-0.0759219
-192.517,0.513583,0.951422,1,3,0,196.92,-0.0759219,0.737026,1.18461,-3.24018,-0.0759219
-192.473,0.998319,0.483221,3,7,0,192.792,-0.0297785,0.711428,1.14044,-3.14248,-0.0297785
-192.468,0.903196,0.801542,3,7,0,193.905,-0.213449,0.722115,1.21052,-3.18121,-0.213449
-192.468,0.437376,1.05011,2,3,0,197.208,-0.213449,0.722115,1.21052,-3.18121,-0.213449
-192.278,0.943792,0.450387,3,7,0,195.308,-0.297901,0.704541,1.15215,-3.10314,-0.297901
-193.842,0.879914,0.649744,2,3,0,194.144,-0.247603,0.732951,1.30159,-3.24121,-0.247603
-193.842,1.80756e-07,3.20914,1,1,0,195.127,-0.247603,0.732951,1.30159,-3.24121,-0.247603
-193.842,0,7.49355,0,1,1,196.631,-0.247603,0.732951,1.30159,-3.24121,-0.247603
-193.509,0.960821,0.738859,3,7,0,195.317,-0.123253,0.659745,1.28097,-3.01431,-0.123253
-193.095,0.99815,0.693237,3,7,0,194.134,-0.175522,0.737228,1.07502,-3.20833,-0.175522
-192.468,1,0.925697,2,3,0,193.198,-0.279342,0.693021,1.11195,-3.05825,-0.279342
-192.643,0.550227,1.44028,2,3,0,193.861,0.0310819,0.712661,1.16816,-3.15945,0.0310819
-193.84,0.909413,0.616518,2,5,0,194.133,-0.611633,0.746048,1.18273,-3.25684,-0.611633
-193.331,0.94742,0.811672,2,7,0,194.888,0.0380663,0.748429,1.23962,-3.30921,0.0380663
-192.276,0.843515,1.245,2,3,0,194.969,-0.180382,0.723745,1.14427,-3.17365,-0.180382
-192.276,0.369539,1.40613,1,3,0,194.812,-0.180382,0.723745,1.14427,-3.17365,-0.180382
-192.905,0.950922,0.35889,3,11,0,195.431,-0.240596,0.623939,1.1635,-2.89676,-0.240596
-192.407,1,0.581046,2,3,0,192.963,-0.230945,0.665701,1.19098,-3.0005,-0.230945
-192.894,0.903496,1.10405,2,3,0,193.028,-0.0118752,0.657255,1.18135,-2.99396,-0.0118752
-193.918,0.181256,1.55017,2,3,0,194.916,0.050564,0.656571,1.08687,-2.97767,0.050564
-193.488,1,0.228945,4,15,0,194.937,-0.535431,0.676289,1.13407,-3.00873,-0.535431
-193.707,0.997584,0.438925,4,15,0,194.919,-0.419405,0.712807,1.2825,-3.15845,-0.419405
-193.035,1,0.830487,2,3,0,193.735,-0.388473,0.705775,1.24376,-3.12591,-0.388473
-192.946,0.63923,1.57166,2,3,0,194.987,-0.303019,0.652406,1.23509,-2.97368,-0.303019
-192.796,0.912527,0.988394,2,3,0,194.102,-0.21479,0.749027,1.21621,-3.28393,-0.21479
-194.338,0.73972,1.42551,2,3,0,194.722,-0.373056,0.674617,1.32285,-3.05139,-0.373056
-192.871,0.987028,1.2219,2,7,0,194.304,-0.0792888,0.745095,1.10302,-3.25239,-0.0792888
-192.871,2.52357e-13,2.18295,1,1,0,196.127,-0.0792888,0.745095,1.10302,-3.25239,-0.0792888
-193.727,0.993245,0.213993,4,15,0,194.675,0.0840775,0.653778,1.12182,-2.98246,0.0840775
-193.14,0.998354,0.391607,3,7,0,194.637,-0.0558391,0.746034,1.0873,-3.25477,-0.0558391
-193.086,0.92671,0.720164,2,7,0,194.452,-0.276703,0.774079,1.15966,-3.37209,-0.276703
-192.999,0.851512,1.06842,2,7,0,195.034,-0.353922,0.652666,1.22925,-2.97103,-0.353922
-193.478,0.879989,1.27265,2,3,0,193.76,-0.299886,0.779784,1.11706,-3.38665,-0.299886
-194.352,0.557532,1.63751,2,3,0,195.405,0.0610689,0.661587,1.2962,-3.0411,0.0610689
-192.796,1,0.854742,2,3,0,194.261,-0.265337,0.699719,1.24553,-3.11124,-0.265337
-193.416,0.767646,1.53082,2,3,0,194.016,-0.384795,0.678061,1.07273,-3.00148,-0.384795
-193.457,0.290797,1.43699,2,3,0,195.537,-0.271364,0.787671,1.18143,-3.4385,-0.271364
-195.871,0.970619,0.369809,3,7,0,196.796,0.371965,0.817902,1.14171,-3.6497,0.371965
-197.732,0.906852,0.607374,3,7,0,200.303,-0.560575,0.580869,1.38943,-2.876,-0.560575
-192.903,0.94795,0.834491,2,3,0,198.602,0.000243949,0.660996,1.15279,-2.99812,0.000243949
-193.564,0.897603,1.27189,2,3,0,194.041,-0.135034,0.77494,1.24438,-3.40489,-0.135034
-193.884,0.960415,1.68673,1,3,0,194.328,0.251453,0.71839,1.16524,-3.20801,0.251453
-193.884,5.30195e-36,2.62329,1,1,0,194.914,0.251453,0.71839,1.16524,-3.20801,0.251453
-193.129,1,0.337285,3,7,0,194.119,0.0980933,0.748801,1.18752,-3.30533,0.0980933
-193.212,0.983466,0.583859,2,7,0,193.563,0.14545,0.711757,1.17852,-3.17289,0.14545
-194.442,0.639987,0.960805,2,3,0,195.102,-0.560746,0.794281,1.19309,-3.46684,-0.560746
-194.566,0.975847,0.658086,2,7,0,195.225,-0.55939,0.781001,1.25187,-3.4199,-0.55939
-194.259,0.962919,1.05339,2,3,0,195.491,-0.144066,0.571361,1.19574,-2.82847,-0.144066
-193.406,0.453391,1.62123,2,3,0,194.975,0.162824,0.699096,1.15799,-3.12887,0.162824
-192.934,0.989078,0.702693,2,3,0,193.756,0.0944314,0.724846,1.17553,-3.2113,0.0944314
-193.867,0.493486,1.14923,2,3,0,196.5,-0.539099,0.772094,1.14543,-3.355,-0.539099
-192.467,0.991248,0.557103,2,7,0,194.799,-0.0812531,0.731538,1.13452,-3.20757,-0.0812531
-193.139,0.953232,0.910865,2,3,0,193.305,-0.248536,0.681452,1.06737,-3.01539,-0.248536
-193.139,0.10604,1.34972,2,3,0,196.414,-0.248536,0.681452,1.06737,-3.01539,-0.248536
-193.449,0.989542,0.26281,4,15,0,194.645,0.0439224,0.647007,1.13858,-2.9652,0.0439224
-195.896,0.960674,0.425678,4,15,0,196.983,-0.0141303,0.836016,1.2655,-3.71949,-0.0141303
-196.022,0.966591,0.639883,3,7,0,199.139,0.504411,0.770799,1.13826,-3.4524,0.504411
-192.489,1,0.969921,3,7,0,195.43,-0.18454,0.667984,1.20708,-3.0133,-0.18454
-192.489,0.100067,1.58018,2,3,0,193.814,-0.18454,0.667984,1.20708,-3.0133,-0.18454
-193.082,0.98959,0.319605,4,15,0,193.481,-0.14199,0.622993,1.14303,-2.89665,-0.14199
-192.325,1,0.508709,3,7,0,193.317,-0.0900058,0.715823,1.14382,-3.15268,-0.0900058
-193.044,0.954927,0.824195,3,7,0,193.544,-0.281381,0.687727,1.2618,-3.07731,-0.281381
-193.305,0.961461,1.1982,1,1,0,193.392,-0.25535,0.693793,1.28068,-3.10182,-0.25535
-194.934,0.523193,1.75942,2,3,0,195.361,-0.265579,0.81976,1.24235,-3.60932,-0.265579
-196.37,0.941417,0.963355,2,3,0,196.829,-0.169969,0.515304,1.13515,-2.77368,-0.169969
-196.37,0.187054,1.34807,2,3,0,197.776,-0.169969,0.515304,1.13515,-2.77368,-0.169969
