# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = model_e2be5eb6573ecac874026412491317bd_model
# start_datetime = 2024-09-05 18:28:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpBx2V2U/standata-177628368cc7.json
# init = 2 (Default)
# random
#   seed = 1245
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpBx2V2U/model_e2be5eb6573ecac874026412491317bd-202409051528-2-470c15.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpBx2V2U/model_e2be5eb6573ecac874026412491317bd-profile-202409051528-2-45bfdf.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --name=model_e2be5eb6573ecac874026412491317bd_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,Intercept,ar.1,sigma,nu,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.379256
# Diagonal elements of inverse mass matrix:
# 0.000448514, 0.951394, 1.14537, 0.024589, 0.7575
-65.6374,0.983602,0.379256,3,7,0,67.6687,0.0769322,9.53426,0.980566,0.60821,14.3836,-8.46965,5.76458
-64.8448,0.971309,0.379256,3,7,0,67.037,0.0809554,9.21299,0.967616,0.574547,4.32391,-8.65334,5.24617
-67.2041,0.947021,0.379256,3,7,0,68.0043,0.0587763,8.26286,0.976399,0.500599,7.28398,-8.44382,5.38282
-65.7269,0.970701,0.379256,4,15,0,68.6419,0.0826629,9.23328,0.935491,0.792867,43.0726,-10.2381,5.1828
-64.4693,1,0.379256,3,7,0,66.9532,0.0811284,9.41002,0.970967,0.642104,9.56773,-8.39199,5.43473
-66.282,0.717416,0.379256,2,3,0,67.7696,0.0741991,10.0481,0.980393,0.668087,8.81356,-8.43703,6.41232
-66.6874,0.991924,0.379256,4,15,0,69.294,0.109491,11.5473,0.983542,0.692416,9.14092,-8.63721,6.18227
-67.071,0.871361,0.379256,2,7,0,70.2372,0.102869,11.0263,0.968767,0.595381,28.1279,-9.31899,5.9857
-67.3999,0.990648,0.379256,3,7,0,69.244,0.113411,9.16804,0.924382,0.791172,6.33537,-8.48177,3.6109
-69.8396,0.83363,0.379256,2,3,0,72.1107,0.130341,9.40203,0.856728,0.799864,5.24453,-8.56293,3.0153
-66.4421,0.936982,0.379256,3,7,0,71.09,0.11514,9.53516,0.838702,0.769757,7.18978,-8.44162,3.8933
-70.3623,0.654548,0.379256,2,3,0,72.2088,0.0996146,9.57316,0.696667,0.773647,4.97174,-8.57943,4.69205
-69.6731,1,0.379256,3,7,0,71.6348,0.108462,9.46073,0.704434,0.727233,4.77717,-8.59389,4.14609
-73.5914,0.287517,0.379256,3,7,0,75.5321,0.0867396,11.156,0.996975,0.571884,31.2744,-9.54819,6.90571
-70.6617,0.936388,0.379256,3,7,0,76.9542,0.0882493,10.5228,0.956023,0.965067,6.9759,-8.55118,6.1986
-72.6316,0.922898,0.379256,2,3,0,74.0266,0.0885369,11.1783,0.92788,0.977927,6.88476,-8.64303,6.83995
-66.7698,0.921358,0.379256,3,7,0,75.8263,0.0779476,10.3681,0.98398,0.723349,14.6714,-8.54674,6.54869
-65.9342,0.960339,0.379256,2,7,0,70.3776,0.0940287,9.92004,0.990896,0.660615,14.0896,-8.48824,5.31263
-66.9641,0.905224,0.379256,3,11,0,67.6729,0.0981598,9.33181,0.99015,0.756617,17.9846,-8.61038,4.52198
-68.2166,0.925229,0.379256,3,7,0,69.7742,0.0744281,9.79691,0.986474,0.686726,49.7236,-10.7815,6.14993
-65.3969,0.968999,0.379256,3,7,0,69.8487,0.109802,10.6117,0.958272,0.760548,9.39431,-8.49452,5.23148
-65.7477,0.969283,0.379256,3,7,0,67.0329,0.108058,10.6885,0.964369,0.550155,11.6627,-8.50427,5.3936
